Thema;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826
Reisen;1;10;18;9;11;5;4;5;25;7;14;25;1;1;3;3;8;8;7;17;20;11;15;12;4;1;2
Krankheit bzw. Gesundheitszustand;1;7;7;4;7;12;3;1;6;11;19;25;6;1;2;3;6;5;14;8;6;5;28;5;2;5;0
Verlage / Verlegerisches;3;3;2;20;9;13;9;1;9;28;11;5;0;0;1;0;1;6;2;5;2;5;0;0;0;15;19
Familie(n);6;8;24;6;8;6;0;3;10;4;11;17;1;2;0;3;4;4;5;7;6;2;12;1;0;1;1
Finanzen;2;4;4;6;2;13;5;2;5;13;10;9;5;6;6;6;6;7;2;4;5;8;3;6;0;1;4
Briefverkehr;0;7;10;13;6;7;4;3;12;14;7;9;3;4;0;2;4;3;1;2;7;4;10;3;0;0;6
Kinder;1;1;16;9;5;2;0;4;11;9;15;16;2;3;3;5;3;1;8;6;4;7;1;3;1;1;0
Festlichkeiten;4;6;11;7;7;7;3;3;9;7;5;5;1;1;2;2;2;9;3;4;5;6;8;1;0;1;7
Literarisches Leben und Schaffen;3;3;3;17;11;9;6;1;4;12;9;17;2;0;2;1;1;6;1;1;1;5;0;0;0;0;2
Freundschaften;1;11;8;4;3;5;1;2;14;8;7;15;0;1;1;0;6;5;3;4;6;1;4;0;0;1;3
Gesellschaftliches Leben;2;8;6;6;4;3;0;2;3;5;6;3;1;1;1;0;1;0;2;2;15;16;13;1;1;1;1
Zeitschriften;6;5;4;25;12;12;4;2;1;17;2;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0
Tod und Sterben;0;1;2;1;1;14;2;2;6;1;9;12;2;0;3;1;0;0;2;6;0;4;4;2;0;11;3
Dank;0;1;2;2;0;2;7;14;12;13;4;6;2;0;1;0;4;2;0;1;0;0;1;2;0;0;2
Berufliches;1;0;0;1;2;11;5;2;4;10;7;4;3;3;1;4;3;4;0;0;3;1;0;0;0;0;0
Hauswesen;0;4;8;4;13;2;0;3;2;6;4;3;1;0;0;0;1;0;2;1;3;1;11;0;0;0;0
Politik;0;0;0;1;2;3;7;3;6;11;2;0;0;4;3;4;0;2;1;5;2;1;2;0;0;0;0
Personalien;1;0;3;3;0;3;0;2;1;3;5;5;0;0;0;3;2;2;4;1;5;3;5;0;1;0;3
Bildung;0;0;0;0;0;5;0;1;18;1;1;0;1;0;0;0;0;1;1;6;5;14;0;0;0;0;0
Kunst;0;0;5;10;4;1;3;1;3;7;3;9;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1
Geschlechterrollen;0;3;2;2;3;3;2;0;3;4;1;3;0;2;0;0;1;2;5;2;1;2;0;0;0;1;1
Liebesleben / Kennenlernen / Ehe;4;2;5;3;2;2;0;0;2;2;4;5;0;0;0;0;0;3;0;1;2;1;3;0;0;0;1
Lektüre(n);1;1;3;1;3;0;1;0;4;4;1;3;0;0;1;1;0;2;0;2;1;3;2;3;1;1;2
Juristische Angelegenheiten;2;3;1;1;5;1;0;2;2;1;0;1;0;0;0;0;3;0;0;2;2;1;0;0;0;0;7
Textilien;0;1;4;2;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;2;0;11;6;0;0;0
Reflexionen über das Leben;0;0;5;6;4;5;3;1;1;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
Erziehung, Pädagogik;0;0;2;2;3;1;0;0;0;7;12;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Grüße;0;1;1;1;1;4;0;2;3;2;2;2;0;1;0;0;0;0;1;0;2;0;1;1;0;0;0
